InvoiceNo,InvoiceDate,CustomerID,Quantity,price_total,StockCode
536508,2010-12-01,17181,216,155.52,2
536514,2010-12-01,17951,118,295.5,5
536520,2010-12-01,14729,197,313.49,71
536521,2010-12-01,12748,1,4.95,1
536522,2010-12-01,15012,86,191.06,54
536523,2010-12-01,12868,112,203.3,12
536524,2010-12-01,17572,24,70.8,4
536525,2010-12-01,14078,29,136.24,13
536526,2010-12-01,14001,94,301.24,9
536527,2010-12-01,12662,157,261.48,15
536528,2010-12-01,15525,124,313.93,57
536529,2010-12-01,14237,38,161.0,9
536530,2010-12-01,17905,72,201.75,23
536531,2010-12-01,15485,416,950.09,23
536532,2010-12-01,12433,1852,1919.13999999999,73
536533,2010-12-01,16955,80,156.1,6
536534,2010-12-01,15350,51,115.65,5
536535,2010-12-01,15605,71,194.85,12
536536,2010-12-01,18144,95,165.049999999999,3
536537,2010-12-01,15922,138,369.5,11
536538,2010-12-01,14594,146,255.0,31
536539,2010-12-01,15165,160,487.75,27
536540,2010-12-01,14911,231,540.38,20
536541,2010-12-01,14911,12,15.0,1
536542,2010-12-01,16456,392,787.4,16
536551,2010-12-01,17346,88,146.61,35
536556,2010-12-01,17643,71,101.55,8
536557,2010-12-01,17841,199,537.38,65
536559,2010-12-01,17873,129,215.149999999999,9
536560,2010-12-01,13093,256,799.4,13
536561,2010-12-01,12921,140,322.4,15
536562,2010-12-01,13468,99,308.65,18
536563,2010-12-01,17760,165,172.54,9
536564,2010-12-01,13468,12,51.4,2
536566,2010-12-01,16928,93,116.25,6
536567,2010-12-01,16048,132,251.4,7
536568,2010-12-01,16048,12,5.04,1
536569,2010-12-01,16274,155,357.95,67
536570,2010-12-01,14496,86,304.34,5
536571,2010-12-01,14696,284,294.62,18
536572,2010-12-01,16539,301,442.349999999999,21
536573,2010-12-01,17025,136,143.12,4
536574,2010-12-01,17025,3,17.85,1
536575,2010-12-01,13777,858,1552.98,8
536576,2010-12-01,13777,1122,2558.42,16
536577,2010-12-01,13777,388,497.0,4
536578,2010-12-01,17690,104,279.6,8
536579,2010-12-01,13777,276,315.96,2
536580,2010-12-01,17690,66,97.1999999999999,6
536581,2010-12-01,13777,200,330.0,1
536582,2010-12-01,12947,184,304.04,17
536583,2010-12-01,13777,120,198.0,1
536584,2010-12-01,13777,384,1132.8,1
536585,2010-12-01,17460,2,19.9,1
536586,2010-12-01,18229,44,344.2,7
536587,2010-12-01,14142,313,311.81,22
536588,2010-12-01,17069,103,277.05,11
536590,2010-12-01,13065,74,205.86,14
536591,2010-12-01,14606,93,198.32,40
536593,2010-12-01,16835,19,81.75,5
536594,2010-12-01,15235,34,79.5,5
536595,2010-12-01,13576,108,349.15,11
536597,2010-12-01,18011,71,102.789999999999,28
536598,2010-12-02,13090,76,160.6,4
536599,2010-12-02,15694,80,306.4,6
536600,2010-12-02,17850,56,251.62,12
536601,2010-12-02,17850,12,22.2,2
536602,2010-12-02,17850,64,163.76,12
536603,2010-12-02,17850,12,22.2,2
536604,2010-12-02,14741,114,184.5,9
536605,2010-12-02,13715,107,272.65,15
536607,2010-12-02,17732,93,303.97,18
536608,2010-12-02,12855,30,38.1,3
536609,2010-12-02,17850,88,244.46,16
536610,2010-12-02,17850,12,22.2,2
536611,2010-12-02,15752,153,259.65,14
536612,2010-12-02,17850,82,206.76,15
536613,2010-12-02,17855,197,208.97,17
536614,2010-12-02,17850,12,22.2,2
536615,2010-12-02,14047,108,286.92,12
536616,2010-12-02,17925,72,244.08,1
536617,2010-12-02,13941,644,1095.12,11
536618,2010-12-02,17017,600,780.12,21
536619,2010-12-02,17017,48,97.1999999999999,2
536620,2010-12-02,14135,741,485.25,23
536621,2010-12-02,13108,298,350.06,10
536623,2010-12-02,15601,666,768.38,48
536624,2010-12-02,13418,228,610.64,22
536626,2010-12-02,13418,6,12.6,1
536627,2010-12-02,15658,64,306.2,14
536628,2010-12-02,17850,86,230.56,16
536629,2010-12-02,17850,12,22.2,2
536630,2010-12-02,17850,88,244.46,16
536631,2010-12-02,17850,12,22.2,2
536632,2010-12-02,14388,170,312.8,21
536633,2010-12-02,14901,105,204.15,18
536634,2010-12-02,18041,159,193.78,14
536635,2010-12-02,15955,246,572.38,20
536636,2010-12-02,15070,36,106.2,1
536637,2010-12-02,18041,165,235.16,67
536638,2010-12-02,16244,619,1056.63,63
536639,2010-12-02,15111,106,288.5,16
536641,2010-12-02,12748,1,4.25,1
536643,2010-12-02,14390,74,223.7,27
536663,2010-12-02,16546,156,299.4,6
536667,2010-12-02,15260,214,362.5,16
536670,2010-12-02,15260,40,58.0,1
536671,2010-12-02,13305,132,136.2,5
536672,2010-12-02,14491,40,127.2,4
536673,2010-12-02,14060,504,339.84,8
536674,2010-12-02,15923,122,127.08,21
536676,2010-12-02,16752,54,207.5,9
536681,2010-12-02,17287,46,113.92,13
536685,2010-12-02,17850,108,380.46,17
536688,2010-12-02,17850,12,22.2,2
536690,2010-12-02,17850,92,331.26,17
536693,2010-12-02,17850,12,22.2,2
536698,2010-12-02,15363,144,326.0,16
536707,2010-12-02,12915,41,199.65,13
536732,2010-12-02,15544,274,354.54,26
536733,2010-12-02,15738,255,329.65,14
536735,2010-12-02,17381,128,211.2,1
536736,2010-12-02,17381,1296,824.88,5
536738,2010-12-02,15827,42,98.18,7
536739,2010-12-02,14180,31,201.75,12
536740,2010-12-02,15827,67,92.75,7
536741,2010-12-02,13117,130,202.12,15
536742,2010-12-02,16916,103,198.08,50
536743,2010-12-02,17964,195,261.76,35
536744,2010-12-02,14466,137,379.75,10
536745,2010-12-02,17235,126,341.9,10
536746,2010-12-02,16510,92,248.1,13
536747,2010-12-02,17802,75,100.2,12
536748,2010-12-02,15107,26,116.0,5
536749,2010-12-02,17976,106,353.19,65
536750,2010-12-02,17850,118,434.8,19
536751,2010-12-02,17850,12,22.2,2
536752,2010-12-02,17850,104,390.66,19
536753,2010-12-02,17850,12,22.2,2
536754,2010-12-02,14449,142,210.24,50
536759,2010-12-02,16781,113,311.25,17
536761,2010-12-02,13491,36,98.9,7
536762,2010-12-02,16186,231,307.68,20
536763,2010-12-02,17685,331,452.52,12
536769,2010-12-02,17581,375,668.4,31
536771,2010-12-02,17581,66,118.38,7
536777,2010-12-02,15732,97,138.1,5
536778,2010-12-02,13138,125,193.23,14
536779,2010-12-02,15823,1,15.0,1
536781,2010-12-02,17460,24,50.4,1
536782,2010-12-02,17567,244,517.95,27
536783,2010-12-02,15061,2909,4076.48,38
536784,2010-12-02,15061,1330,2170.9,25
536785,2010-12-02,15061,1008,2730.96,6
536786,2010-12-02,15061,144,324.0,2
536787,2010-12-02,17850,76,192.46,13
536788,2010-12-02,15061,60,75.0,1
536789,2010-12-02,17850,12,22.2,2
536790,2010-12-02,17850,141,532.01,17
536791,2010-12-02,17850,24,44.4,2
536792,2010-12-02,15061,24,30.0,1
536793,2010-12-02,16203,70,170.7,11
536794,2010-12-02,13767,96,322.8,4
536795,2010-12-02,15640,180,333.72,7
536796,2010-12-02,15574,176,375.65,121
536797,2010-12-02,16770,56,130.8,6
536798,2010-12-02,17838,472,717.16,31
536799,2010-12-02,17228,122,183.3,18
536800,2010-12-02,14829,190,236.97,19
536802,2010-12-02,17412,50,197.3,8
536803,2010-12-02,14911,6,22.5,1
536804,2010-12-02,14031,531,1714.25,25
536805,2010-12-02,14775,384,406.56,20
536806,2010-12-02,12971,84,45.12,5
536808,2010-12-02,17659,64,247.8,12
536809,2010-12-02,15299,1824,1003.2,1
536810,2010-12-02,15299,204,303.96,1
536811,2010-12-02,15299,69,527.85,1
536813,2010-12-02,15646,230,189.8,17
536819,2010-12-02,13402,190,308.28,17
536821,2010-12-02,17757,80,143.45,23
536823,2010-12-02,13011,13,50.55,3
536824,2010-12-02,13798,160,408.0,1
536830,2010-12-02,16754,4280,2002.4,2
536831,2010-12-02,16029,260,569.4,4
536832,2010-12-02,16634,64,164.8,8
536833,2010-12-02,18239,208,438.1,29
536834,2010-12-02,14576,12,35.4,1
536835,2010-12-02,13145,1,295.0,1
536836,2010-12-02,18168,133,263.3,27
536837,2010-12-02,14395,174,308.68,27
536838,2010-12-02,14865,96,37.2,3
536839,2010-12-02,15093,879,623.73,16
536840,2010-12-02,12738,148,155.35,11
536841,2010-12-02,16150,174,393.42,22
536842,2010-12-02,17552,130,263.62,11
536843,2010-12-02,17552,14,34.9,2
536844,2010-12-02,14236,38,189.3,3
536845,2010-12-02,17961,45,127.55,29
536846,2010-12-02,14573,134,413.1,76
536847,2010-12-03,17135,222,215.579999999999,9
536848,2010-12-03,13408,280,534.0,3
536849,2010-12-03,17396,106,397.5,3
536851,2010-12-03,12967,360,1368.4,15
536852,2010-12-03,12686,107,89.14,7
536856,2010-12-03,13370,343,754.87,39
536857,2010-12-03,16883,54,128.03,17
536858,2010-12-03,13520,110,303.4,6
536859,2010-12-03,12841,186,294.25,24
536860,2010-12-03,16905,108,254.399999999999,10
536861,2010-12-03,12427,79,303.5,10
536863,2010-12-03,17967,80,123.07,48
536874,2010-12-03,16891,92,232.26,69
536884,2010-12-03,14589,5,39.75,3
536890,2010-12-03,14156,1548,322.2,3
536938,2010-12-03,14680,464,1680.88,14
536943,2010-12-03,17884,170,187.51,28
536944,2010-12-03,12557,400,620.0,5
536945,2010-12-03,14083,179,309.54,66
536946,2010-12-03,13013,363,841.94,29
536947,2010-12-03,13013,439,686.4,38
536954,2010-12-03,17809,100,425.0,1
536956,2010-12-03,14210,93,304.95,15
536957,2010-12-03,17809,234,791.7,13
536960,2010-12-03,16477,125,225.65,14
536967,2010-12-03,12600,31,76.5,2
536968,2010-12-03,16013,168,534.0,2
536969,2010-12-03,16013,192,528.0,1
536970,2010-12-03,17949,120,1314.0,1
536971,2010-12-03,12779,140,248.16,8
536972,2010-12-03,16926,35,230.25,14
536973,2010-12-03,17787,356,736.28,31
536974,2010-12-03,12682,132,336.24,16
536975,2010-12-03,14911,827,1705.65,71
536976,2010-12-03,14723,76,149.8,19
536977,2010-12-03,17954,60,108.78,14
536980,2010-12-03,17819,239,591.47,12
536981,2010-12-03,14723,39,101.14,24
536983,2010-12-03,12712,60,175.53,9
536984,2010-12-03,17841,136,339.54,29
536985,2010-12-03,15373,42,334.3,11
536986,2010-12-03,16140,104,124.14,7
536987,2010-12-03,17198,124,272.01,53
536988,2010-12-03,17238,100,254.39,38
536989,2010-12-03,17238,26,115.7,22
536990,2010-12-03,12793,65,131.8,7
536992,2010-12-03,15769,36,91.8,1
536993,2010-12-03,14396,39,110.35,34
536994,2010-12-03,14898,18,98.5,3
537022,2010-12-03,12725,164,427.8,24
537023,2010-12-03,16725,64,122.15,25
537026,2010-12-03,12395,528,346.1,12
537030,2010-12-03,16455,142,246.3,13
537031,2010-12-03,16455,108,135.0,6
537034,2010-12-03,13081,1338,2355.18,73
537035,2010-12-03,13081,8,11.6,1
537036,2010-12-03,15545,75,135.329999999999,31
537037,2010-12-05,17243,92,256.9,11
537038,2010-12-05,15465,125,535.75,7
537040,2010-12-05,13089,192,734.399999999999,2
537041,2010-12-05,16033,52,155.64,26
537042,2010-12-05,13838,83,238.11,52
537044,2010-12-05,18055,93,431.45,19
537045,2010-12-05,15038,46,126.429999999999,35
537046,2010-12-05,18109,55,277.45,14
537047,2010-12-05,13069,181,326.6,41
537048,2010-12-05,13069,2,5.9,2
537049,2010-12-05,16241,97,277.65,14
537050,2010-12-05,14800,437,555.84,51
537051,2010-12-05,15708,158,350.68,42
537052,2010-12-05,16839,232,552.24,5
537053,2010-12-05,16168,124,275.8,3
537054,2010-12-05,16931,82,152.05,41
537055,2010-12-05,16814,107,273.29,15
537057,2010-12-05,15351,129,274.67,51
537058,2010-12-05,13269,197,351.43,12
537059,2010-12-05,14813,59,127.98,24
537065,2010-12-05,12567,611,1526.92,63
537067,2010-12-05,14813,8,27.45,6
537077,2010-12-05,17062,163,179.64,26
537081,2010-12-05,15332,442,1145.06,25
537086,2010-12-05,15332,168,438.0,8
537090,2010-12-05,15332,12,15.0,1
537111,2010-12-05,14810,84,180.44,23
537117,2010-12-05,16353,48,204.0,1
537126,2010-12-05,18118,212,475.86,118
537127,2010-12-05,13831,160,408.0,2
537128,2010-12-05,12841,135,211.74,23
537129,2010-12-05,13506,232,301.12,17
537130,2010-12-05,17796,28,114.65,19
537131,2010-12-05,15716,435,547.1,38
537133,2010-12-05,18156,73,206.23,55
537134,2010-12-05,16983,107,163.49,9
537135,2010-12-05,17059,471,722.36,117
537136,2010-12-05,12748,152,273.76,37
537137,2010-12-05,16327,392,535.6,66
537138,2010-12-05,17211,204,273.3,33
537139,2010-12-05,17026,25,33.15,3
537140,2010-12-05,12748,54,70.42,39
537141,2010-12-05,15570,165,517.65,44
537142,2010-12-05,12748,16,41.45,15
537144,2010-12-05,15880,211,343.28,105
537153,2010-12-05,16718,413,623.75,45
537154,2010-12-05,15808,355,1021.45,64
537155,2010-12-05,12748,66,75.64,33
537156,2010-12-05,17858,87,251.25,19
537158,2010-12-05,16393,86,184.8,10
537159,2010-12-05,14527,60,292.95,28
537160,2010-12-05,14161,128,283.15,26
537163,2010-12-05,17863,276,384.719999999999,21
537176,2010-12-05,16411,70,131.5,21
537179,2010-12-05,13767,284,806.28,13
537192,2010-12-05,16402,105,211.8,57
537193,2010-12-05,15023,232,460.6,37
537194,2010-12-05,17402,80,271.2,1
537195,2010-12-05,15311,310,650.64,33
537196,2010-12-05,15426,159,411.42,86
537197,2010-12-05,12647,80,286.5,17
537198,2010-12-05,12647,11,85.5,2
537199,2010-12-05,15894,115,156.74,38
537200,2010-12-05,15867,47,112.9,29
537201,2010-12-05,12472,972,1631.3,70
537202,2010-12-05,14506,112,269.7,50
537204,2010-12-05,15555,293,198.43,32
537205,2010-12-05,13034,116,165.86,11
537206,2010-12-05,15235,25,85.55,4
537207,2010-12-05,17402,40,188.77,23
537208,2010-12-05,15889,149,297.92,66
537209,2010-12-05,14606,83,192.68,42
537210,2010-12-05,15953,101,209.84,16
537211,2010-12-05,16143,145,355.75,16
537212,2010-12-05,12720,299,473.39,30
537213,2010-12-05,12748,7,8.65,6
537214,2010-12-05,16422,2048,1668.2,13
537215,2010-12-05,12747,108,358.559999999999,7
537216,2010-12-05,15502,240,569.5,18
537217,2010-12-05,15502,16,167.2,4
537218,2010-12-05,12763,196,320.08,16
537219,2010-12-05,14081,252,423.52,69
537221,2010-12-05,17965,14,37.35,7
537222,2010-12-05,14404,57,133.48,26
537223,2010-12-05,13579,46,164.7,9
537224,2010-12-05,13174,700,1415.97,169
537225,2010-12-05,12748,316,496.48,64
537226,2010-12-06,15987,86,113.48,9
537227,2010-12-06,17677,700,922.4,20
537228,2010-12-06,17677,12,25.2,1
537229,2010-12-06,17677,12,17.4,1
537231,2010-12-06,13652,112,308.8,18
537233,2010-12-06,17428,148,353.0,9
537235,2010-12-06,17381,1464,2567.64,5
537236,2010-12-06,16858,91,375.69,10
537238,2010-12-06,16161,88,164.2,15
537239,2010-12-06,18219,67,210.19,13
537241,2010-12-06,14293,172,364.92,15
537242,2010-12-06,14748,282,412.22,29
537243,2010-12-06,16638,24,50.4,2
537244,2010-12-06,17674,349,300.66,11
537245,2010-12-06,14748,48,58.2,3
537246,2010-12-06,12808,53,129.4,7
537247,2010-12-06,13094,192,223.68,3
537248,2010-12-06,15899,39,56.25,4
537249,2010-12-06,16955,20,33.0,1
537250,2010-12-06,12708,89,196.44,14
537254,2010-12-06,15898,210,382.69,59
537255,2010-12-06,14443,163,303.5,20
537256,2010-12-06,16210,796,2263.8,11
537257,2010-12-06,17691,58,142.5,9
537258,2010-12-06,17227,92,142.25,10
537262,2010-12-06,15039,266,611.51,56
537265,2010-12-06,15919,242,270.72,49
537298,2010-12-06,13497,54,153.5,9
537301,2010-12-06,15860,72,102.66,15
537312,2010-12-06,14189,254,311.24,9
537313,2010-12-06,15304,21,123.15,5
537332,2010-12-06,14344,120,322.8,12
537334,2010-12-06,16719,146,430.73,44
537335,2010-12-06,15048,32,98.7,23
537346,2010-12-06,15301,503,673.37,34
537350,2010-12-06,14708,350,419.06,12
537351,2010-12-06,16898,98,116.08,32
537354,2010-12-06,12748,85,133.07,38
537359,2010-12-06,14825,72,184.1,10
537360,2010-12-06,18113,72,76.32,1
537362,2010-12-06,17596,530,392.62,60
537365,2010-12-06,15078,201,449.95,21
537366,2010-12-06,14085,106,308.05,12
537367,2010-12-06,15078,12,25.2,1
537368,2010-12-06,14911,135,377.5,15
537369,2010-12-06,17860,104,252.8,58
537370,2010-12-06,13155,168,379.7,52
537371,2010-12-06,15028,119,185.97,14
537372,2010-12-06,16919,73,198.35,22
537374,2010-12-06,17259,275,381.64,87
537375,2010-12-06,17019,223,358.82,49
537376,2010-12-06,16722,278,480.68,16
537377,2010-12-06,15882,116,270.52,14
537378,2010-12-06,14911,476,784.15,20
537380,2010-12-06,15882,48,100.8,2
537381,2010-12-06,14667,372,511.56,24
537382,2010-12-06,16710,197,375.47,58
537384,2010-12-06,15984,56,122.7,5
537385,2010-12-06,14487,37,125.1,13
537386,2010-12-06,14911,3,20.85,1
537387,2010-12-06,13468,84,222.18,14
537388,2010-12-06,17682,210,391.5,18
537389,2010-12-06,17757,60,149.0,19
537390,2010-12-06,16658,40,123.24,8
537391,2010-12-06,16550,257,554.66,48
537392,2010-12-06,17068,80,166.15,24
537393,2010-12-06,13089,972,2415.04,34
537394,2010-12-06,13089,54,81.1799999999999,5
537395,2010-12-06,15356,80,150.22,53
537396,2010-12-06,17223,64,292.84,30
537397,2010-12-06,16817,164,244.2,10
537399,2010-12-06,13030,204,427.74,60
537400,2010-12-06,17191,261,422.81,50
537403,2010-12-06,17191,21,30.45,11
537404,2010-12-06,17191,38,56.85,11
537405,2010-12-06,17841,132,406.69,46
537407,2010-12-06,15502,34,192.7,6
537409,2010-12-06,15194,247,406.16,16
537410,2010-12-06,14409,72,151.2,1
537412,2010-12-06,14409,96,177.6,1
537415,2010-12-06,16654,63,227.4,9
537418,2010-12-06,17884,66,137.11,36
537419,2010-12-06,13495,209,510.95,14
537420,2010-12-06,17519,184,335.3,18
537421,2010-12-06,17218,131,292.54,51
537422,2010-12-06,17812,144,217.549999999999,33
537423,2010-12-06,14215,104,166.0,6
537424,2010-12-06,15602,57,92.55,3
537428,2010-12-06,17320,210,450.92,22
537429,2010-12-06,12748,119,82.12,21
537433,2010-12-06,12913,146,417.62,4
537435,2010-12-06,17920,82,221.5,14
537440,2010-12-06,17869,67,214.32,16
537441,2010-12-06,13564,256,540.0,41
537446,2010-12-07,18055,201,569.03,28
537447,2010-12-07,13963,54,151.3,7
537448,2010-12-07,17450,6,39.5999999999999,1
537456,2010-12-07,17450,780,1989.23999999999,2
537457,2010-12-07,17511,914,1644.94,19
537458,2010-12-07,17091,101,293.45,13
537459,2010-12-07,17470,112,178.4,11
537460,2010-12-07,17616,128,326.4,1
537461,2010-12-07,15649,120,510.0,1
537462,2010-12-07,17228,89,172.65,12
537463,2010-12-07,12681,585,1033.52,41
537464,2010-12-07,14907,234,618.07,28
537465,2010-12-07,17735,218,454.6,22
537467,2010-12-07,16059,51,118.25,18
537468,2010-12-07,12567,167,415.46,20
537469,2010-12-07,17720,24,102.0,1
537470,2010-12-07,15018,21,111.25,5
537471,2010-12-07,14344,3,17.85,1
537472,2010-12-07,12971,126,111.54,6
537476,2010-12-07,15838,550,957.5,3
537484,2010-12-07,14733,680,1830.02,28
537489,2010-12-07,17017,396,511.799999999999,21
537509,2010-12-07,13756,288,532.8,2
537523,2010-12-07,14176,61,159.55,9
537538,2010-12-07,15353,131,311.65,12
537567,2010-12-07,18119,125,181.12,30
537592,2010-12-07,17491,268,327.4,5
537593,2010-12-07,14282,300,571.0,13
537594,2010-12-07,12647,155,596.8,17
537595,2010-12-07,13569,44,118.32,24
537598,2010-12-07,14135,80,319.0,14
537599,2010-12-07,17954,2,19.9,1
537601,2010-12-07,17287,62,108.78,9
537603,2010-12-07,14673,213,373.49,15
537604,2010-12-07,13488,516,1381.92,45
537605,2010-12-07,16221,52,166.74,12
537606,2010-12-07,15002,279,631.65,31
537607,2010-12-07,15965,74,156.19,16
537608,2010-12-07,15024,235,444.42,47
537609,2010-12-07,17675,236,617.12,12
537612,2010-12-07,13769,122,322.3,10
537614,2010-12-07,16904,137,322.8,30
537615,2010-12-07,15898,20,139.0,5
537616,2010-12-07,16904,2,15.9,1
537617,2010-12-07,16086,76,177.26,8
537618,2010-12-07,15061,956,2022.16,16
537619,2010-12-07,13786,136,230.399999999999,7
537620,2010-12-07,13880,54,97.8,6
537622,2010-12-07,13173,114,165.94,23
537623,2010-12-07,15858,199,383.93,44
537624,2010-12-07,12748,171,306.84,59
537625,2010-12-07,15180,36,87.5,6
537626,2010-12-07,12347,319,711.79,31
537627,2010-12-07,14739,476,713.88,12
537628,2010-12-07,16293,189,378.75,16
537629,2010-12-07,17419,191,356.87,18
537631,2010-12-07,17419,12,17.4,1
537634,2010-12-07,16775,62,231.9,18
537635,2010-12-07,16306,30,68.1,2
537636,2010-12-07,16950,32,172.0,3
537646,2010-12-07,17591,133,406.6,80
537648,2010-12-07,12839,271,402.61,22
537649,2010-12-07,13807,36,112.6,7
537650,2010-12-07,16125,124,289.35,13
537653,2010-12-07,17897,84,268.73,37
537655,2010-12-07,15081,57,111.15,8
537657,2010-12-07,18102,2790,9639.12,5
537658,2010-12-07,18102,120,395.76,3
537659,2010-12-07,18102,3689,15885.49,9
537664,2010-12-07,15024,24,46.8,1
537665,2010-12-07,16365,101,139.86,6
537667,2010-12-08,17870,128,326.4,1
537668,2010-12-08,14821,20,48.8,2
537669,2010-12-08,16863,105,164.25,9
537670,2010-12-08,13078,151,514.39,10
537671,2010-12-08,13267,145,328.45,15
537672,2010-12-08,13050,182,328.01,18
537673,2010-12-08,12709,139,522.7,7
537674,2010-12-08,15628,250,319.18,19
537676,2010-12-08,12386,214,258.9,8
537678,2010-12-08,16779,133,356.91,9
537680,2010-12-08,13599,173,253.24,13
537681,2010-12-08,13329,175,304.2,7
537682,2010-12-08,13599,72,99.6,4
537683,2010-12-08,12921,240,365.4,20
537685,2010-12-08,18077,171,204.87,19
537686,2010-12-08,14744,148,225.0,3
537688,2010-12-08,17406,270,702.1,19
537689,2010-12-08,15750,288,301.52,17
537690,2010-12-08,13983,220,329.36,15
537691,2010-12-08,13842,163,310.57,20
537692,2010-12-08,14796,434,671.21,50
537693,2010-12-08,12441,121,173.55,11
537694,2010-12-08,14901,63,158.25,14
537698,2010-12-08,13199,452,468.68,4
537700,2010-12-08,18229,68,309.0,3
537707,2010-12-08,14032,176,303.86,14
537738,2010-12-08,17706,144,287.08,17
537743,2010-12-08,17706,65,151.95,9
537751,2010-12-08,17706,16,38.8,2
537754,2010-12-08,16081,53,157.6,22
537755,2010-12-08,16525,198,411.44,9
537757,2010-12-08,17975,86,314.1,8
537758,2010-12-08,16122,118,105.72,10
537759,2010-12-08,13126,108,203.64,12
537760,2010-12-08,15973,106,307.82,4
537761,2010-12-08,13126,12,19.7999999999999,1
537762,2010-12-08,16558,275,569.4,27
537764,2010-12-08,16893,62,145.93,45
537765,2010-12-08,14606,81,215.88,38
537766,2010-12-08,17677,288,651.6,4
537767,2010-12-08,15100,32,350.4,1
537768,2010-12-08,15750,20,39.0,2
537769,2010-12-08,15021,94,205.64,53
537770,2010-12-08,15529,176,295.66,15
537771,2010-12-08,15498,204,450.92,9
537772,2010-12-08,18043,172,316.46,66
537773,2010-12-08,16016,146,382.27,69
537774,2010-12-08,14060,196,281.0,4
537775,2010-12-08,17722,525,910.14,45
537780,2010-12-08,17324,51,127.05,6
537781,2010-12-08,17341,291,513.6,161
537789,2010-12-08,14051,214,623.42,14
537791,2010-12-08,16233,12,147.399999999999,2
537792,2010-12-08,16385,70,148.23,21
537793,2010-12-08,15032,1655,2746.75,29
537794,2010-12-08,16713,189,414.43,60
537795,2010-12-08,17213,92,312.9,15
537796,2010-12-08,18061,248,405.16,6
537799,2010-12-08,15916,55,142.95,11
537800,2010-12-08,12748,75,69.7899999999999,10
537801,2010-12-08,15221,43,403.25,5
537802,2010-12-08,13455,190,692.94,30
537803,2010-12-08,15916,10,89.5,2
537804,2010-12-08,12748,116,130.64,13
537806,2010-12-08,13113,105,372.969999999999,10
537808,2010-12-08,15311,145,251.09,17
537809,2010-12-08,14217,26,118.3,7
537810,2010-12-08,15032,3,23.85,1
537811,2010-12-08,17262,74,268.86,2
537813,2010-12-08,18259,116,376.3,7
537815,2010-12-08,17676,158,300.7,15
537816,2010-12-08,16679,29,129.75,3
537817,2010-12-08,18269,76,168.6,7
537818,2010-12-08,12766,424,1149.29,53
537819,2010-12-08,15298,286,397.6,17
537822,2010-12-08,13523,365,566.95,30
537825,2010-12-08,15005,118,222.5,28
537826,2010-12-08,15581,104,272.34,21
537827,2010-12-08,15332,30,63.0,1
537828,2010-12-08,15680,331,478.89,30
537829,2010-12-08,15498,260,525.8,19
537830,2010-12-08,13649,67,197.8,15
537831,2010-12-08,17894,39,106.77,11
537833,2010-12-08,13270,200,590.0,1
537836,2010-12-08,14866,144,103.679999999999,1
537837,2010-12-08,13077,303,313.72,14
537840,2010-12-08,13531,103,305.45,15
537841,2010-12-08,13848,1000,320.0,1
537842,2010-12-08,13140,75,159.51,16
